name,M1,dM,S1,S2,f,Ns,Nb,M1_err,dM_err,S1_err,S2_err,f_err,Ns_err,Nb_err,lum,TrigEff,TrigErr
537.5,497.02514810853324,-0.05000025015326748,3.4880905675759646,11.300000164550536,0.7307499999999999,2000.1504871399065,15.902203493443567,0.10285283042065883,0.1944063111127919,0.08890764291901032,0.05381880785098225,1.0,44.96214035002174,6.105943771269191,1224.66,0.9969074844074844,0.0006819346543856435
550.0,497.26673632904846,-0.29359408020062994,3.864493005606065,11.300000033555488,0.7209999999999999,1376.1232387661746,24.94387936043463,0.14383541535525524,0.19596136145542647,0.11872529123769615,0.2227459640181904,1.0,37.5338383640344,7.58833752893695,1424.27,0.9967064635652532,0.0008332763243151698
550.1,496.83393502292085,-0.3099998931214317,4.705316889730041,11.300000068990634,0.7209219999999998,431.4164974853928,16.59196150793585,0.29941990777476235,0.13053044806927508,0.2879284666096251,0.3042204073741699,1.0,21.183431982965686,5.823115539959012,496.833,0.9957027399960575,0.001772727286000684
562.5,497.1327714964501,-0.05000057110512707,3.900151071769918,11.300000000243427,0.7112499999999999,684.7068505564936,3.313569284289553,0.20040641043894425,0.2592836862783334,0.1737433478729451,0.30839389648014404,1.0,26.456877457198292,4.299413916234673,1048.68,0.9971419364781372,0.001174409306043807
575.0,496.93817789772817,-0.309999931102689,3.8074104735335546,11.300000006146377,0.7014999999999999,526.7605754668891,7.233928334800465,0.220344588665256,0.25965139888678423,0.1803731149066912,0.22556154503312345,1.0,23.09575102798777,3.72689643388846,1054.35,0.9948601923124216,0.001296179265843639
587.5,496.7126974423117,-0.05000009665347988,3.748498545701436,11.300003830292793,0.6917499999999999,385.86868326895285,3.204053776484028,0.2620668363422851,0.2558010037848156,0.227086286756474,0.3385004345576217,1.0,19.846202885170925,3.341858964424016,1167.38,0.9975138202345784,0.0008742729487052235
600.0,496.77264351722226,-0.05000634330299497,4.559348631550773,11.639606749472385,0.6819999999999999,278.72821854797996,8.226776586455319,0.3764319788197383,0.16743428918673425,0.3484511738056297,0.1702390072660913,1.0,17.118908156218993,4.75190932912356,1161.83,0.9968148639681487,0.0011099558877064434
612.5,496.4246536529021,-0.22653429510113066,3.723244611455349,11.300000172515793,0.6722499999999999,191.35953124185252,3.605107910572114,0.4441579178229915,0.18547520053408126,0.36148919262136303,0.3393657287235641,1.0,14.0301369807555,3.0174087626686497,1059.04,0.9980505736883146,0.0009371067126825068
612.6,496.6411885791877,-0.3099999962613101,4.255322727651896,11.30000000223491,0.6721719999999999,259.398058009519,8.600721239415853,0.3745467396150843,0.17405850086531313,0.37438209303249614,0.3372283162844445,1.0,16.45510689522179,4.468800272966449,1179.14,0.9975959732552024,0.0009438607667236616
625.0,496.43880526890155,-0.05000026416335729,4.114150202945025,11.639999756243338,0.6624999999999999,205.5934303802853,5.413426574991052,0.4176363464892177,0.2594336907084025,0.40127746901597217,0.1882950675866457,1.0,14.708109564609556,4.019072446695887,1091.9,0.9978128680270147,0.0009997489971970098
637.5,496.3479635447453,-0.050312296717758435,4.806707127550808,11.322619637845285,0.6527499999999999,131.01849536317212,3.3339453420211385e-07,0.5969364055312383,0.19987673623074065,0.8248240296005496,0.28852959051540417,1.0,11.446716854174314,1.21828548924785,1021.19,0.9981831395348837,0.0010723940704821806
641.0,496.226940249412,-0.3099877386900835,4.895653251770839,11.639976858982653,0.6500199999999999,853.3225770161357,27.425963566852676,0.2357381416311455,0.18186239166981127,0.22352307344372413,0.33564293334320805,1.0,29.991895705960808,8.585979623292108,6291.37,0.9966734954085068,0.0006597334690351031
650.0,496.99139813651817,-0.3099467168614732,3.794117839050069,11.639997627110635,0.6429999999999999,108.99005334915613,0.9764620442020422,0.5234519431156457,0.247308445701846,0.4141571693818151,0.21186174429792715,1.0,10.730862160615589,2.6734095875539934,954.102,0.9989991659716431,0.0007489227458462253
662.5,496.46731468320706,-0.3099999714683587,4.278854525028888,11.639999712946501,0.6332499999999999,116.01429252025564,6.2370073550255265e-06,0.5645188485647736,0.18915671171946954,0.4702435216200582,0.3309546174797049,1.0,10.771335956713537,4.3293669808099065,1109.24,0.9972587719298246,0.001556235000795777
675.0,497.3033932091103,-0.3099999685592941,5.284415364270838,11.300000116618044,0.6234999999999999,99.32798173936108,2.6682222739408124,0.7382103953223407,0.15388926742893053,0.7538751032760067,0.31782172105808915,1.0,10.079004370583398,2.220352965615457,1139.35,0.9977277422020244,0.0017074170671855687
687.5,496.8307551866452,-0.309986823501238,4.2250886175802655,11.3000226052536,0.6137499999999999,83.90053078482505,9.108086468589182,0.6826388354879498,0.20011688244264206,0.5812838844306429,0.2335914087526429,1.0,9.628189827057264,4.2311791578089615,1147.48,0.9978494623655914,0.0014789330928796488
700.0,496.67230570592585,-0.050001275602360666,5.966263862951973,11.300002020366009,0.6039999999999999,47.412088230147646,3.588814394717865,1.2080037515029003,0.1301616269834149,1.2254652826104289,0.33668656313638845,1.0,7.188672151525744,2.802533322848438,1007.51,0.9967186218211649,0.0033809558292431496
712.5,497.22843147418706,-0.05000546116958615,3.9822934206359646,11.639997260592,0.59425,75.97338476926784,1.0926475002559501e-05,0.7256378935100827,0.21783288359618724,0.7335967319761245,0.2792178193682293,1.0,8.71549413455908,1.7391175353473898,1010.5,0.9989747095010253,0.0009151881042664409
725.0,496.57984613555715,-0.0500014623447444,2.8061795844174022,11.30000308509607,0.5844999999999999,72.72815450124482,2.2780363833358463,0.5661606554595267,0.22583960776953005,0.7553706535288656,0.3263397887049262,1.0,8.684414680448782,2.228168825470473,1333.8,0.998197548666186,0.0014689097179275753
737.5,496.1596735772525,-0.050194870629127135,4.89613748948393,11.300000257480313,0.5747499999999999,67.92931689658666,2.0702410560256572,0.8789107585766089,0.15298880555636668,0.9189564143140578,0.2702267910352978,1.0,8.37642016788265,2.0750000815197014,954.895,0.9979287489643744,0.0016847233072624734
750.0,499.146136796535,-0.050037828752097835,7.978266028354514,11.300000011982908,0.565,118.28699859586789,2.7060482536946373,0.8920117390337339,0.1903362752078504,1.1503257775230789,0.21928008006637345,1.0,11.098980197915543,2.757877014654936,1045.6,0.9960206337509211,0.0020227680286388646
762.0,495.93840321391286,-0.30999989350402163,4.48775800703216,11.300000063685125,0.5556399999999999,177.7219378172712,2.2765288668062382,0.5234190594308643,0.24118129586327955,0.4538528725604061,0.3280526971798503,1.0,13.437391462978187,2.261663327871449,1367.32,0.9988827885597549,0.00064149032250629
775.0,497.090648907952,-0.3099967114610435,4.7050326201911785,11.639999710920078,0.5454999999999999,128.25513920269316,4.7501472211848865,0.6594789532019547,0.13351224301936235,0.6993316446246713,0.2535518377143617,1.0,11.77708431097934,3.8992174003569247,989.271,0.9985902255639098,0.0009347154222701289
787.5,496.61547465856336,-0.3099997547769946,4.72077889362527,11.63999857063872,0.53575,245.4098990027409,7.584818104822366,0.493015403696802,0.2596961627923651,0.5208901004700266,0.18487261824890575,1.0,16.128563285072715,4.723310013376391,1260.24,0.9989343039365173,0.0005514207815936279
800.0,496.68633936452983,-0.3099998392948833,5.576662478339684,11.639999834492555,0.5259999999999999,293.87646648606494,18.0999130602898,0.5066797449667321,0.17078374319404202,0.7865751773513772,0.26321599738021284,1.0,18.273337683041827,7.62524911424159,1432.31,0.9984206889744349,0.0006575574053015114
812.5,496.8476475742544,-0.3099999976103594,4.802239087663956,11.63999997239134,0.5162499999999999,399.439020278658,20.560310835867398,0.39977380094003934,0.21595977550701184,0.4708601792139304,0.3245330475111192,1.0,20.87462467909029,7.540860135798078,1890.39,0.9991098134168922,0.00035762983193767336
825.0,497.6646585198227,-0.050004204974796684,4.486737260144136,11.63999927763517,0.5065,317.39519094140525,7.581847625214468,0.4206275674491167,0.1886418333336501,0.4938838994496533,0.33943246037325103,1.0,18.41461955677801,5.409910866715356,1503.73,0.9991555072988297,0.00045503752723933855
837.5,496.90667093236397,-0.3099996240211848,5.996611345313243,11.300002509180418,0.4967499999999999,151.08134861225864,6.946288261543254,0.7217460316240647,0.13472641971538749,0.9977845326750449,0.17134048521166625,1.0,12.670859816898966,4.0498358611963114,1067.52,0.9995130858186244,0.0003924901671742334
850.0,497.29743932419126,-0.3099996977303185,3.1156805143592865,11.301337578225212,0.4869999999999999,78.32805255094111,12.657185848158836,0.7044606955460608,0.2480579369562353,0.8251815526338602,0.17717732994666413,1.0,9.670371237963103,5.276197544557769,1009.59,0.9995274102079396,0.0004649048930415073
874.0,500.5940625217769,-0.3099999956912826,8.199354926479764,11.639983529351316,0.4682799999999999,103.438222792851,34.56201186629237,1.4684645063440769,0.2339720840232326,2.0113151366761017,0.20077592763674712,1.0,12.29795509725129,9.075195882686348,4105.491,0.9977885891198585,0.001226950658419897
912.0,497.9078140982463,-0.3099998536849368,6.404683136281163,11.300000101755032,0.4386399999999999,79.29743526920441,43.705750370997436,1.2102308197559069,0.1310308165105848,1.2095951668219749,0.2973891858690383,1.0,10.576411624710346,8.733256677592198,6286.459999999999,0.9980713596914176,0.0011781276641157719
952.0,502.20778213951655,-0.050060535390839316,10.247824276722431,11.300000010970711,0.4074399999999999,67.40944654273773,33.578672667758326,1.7092582842556396,0.1825845381369985,3.5858612589725305,0.2417154317154475,1.0,11.02577231337498,9.36330140327768,5351.23,0.9984998499849985,0.0010694662930441805
980.0,499.81961332438937,-0.3099986428593107,4.707824161061729,11.639995750057958,0.3856,120.31123779300268,69.61495918796889,1.2416177745043908,0.2555546011868273,1.549421949845715,0.1971048251482701,1.0,13.864412041100776,11.89327615216668,8700.723,0.9995520842081689,0.00031252908481834704
